meas_id;measurement;temp;ser;ab
0;m019_eggwhite_50C_bd;50;1;8
0;m019_eggwhite_50C_bd;50;2;8
0;m019_eggwhite_50C_bd;50;3;6
0;m019_eggwhite_50C_bd;50;4;6
0;m019_eggwhite_50C_bd;50;5;4
0;m019_eggwhite_50C_bd;50;6;4
0;m019_eggwhite_50C_bd;50;7;2
0;m019_eggwhite_50C_bd;50;8;2
0;m019_eggwhite_50C_bd;50;9;1
0;m019_eggwhite_50C_bd;50;10;1
0;m019_eggwhite_50C_bd;50;11;0
0;m019_eggwhite_50C_bd;50;12;0
0;m019_eggwhite_50C_bd;50;13;18
1;m020_eggwhite_53C_bd;53;1;8
1;m020_eggwhite_53C_bd;53;2;8
1;m020_eggwhite_53C_bd;53;3;6
1;m020_eggwhite_53C_bd;53;4;6
1;m020_eggwhite_53C_bd;53;5;4
1;m020_eggwhite_53C_bd;53;6;4
1;m020_eggwhite_53C_bd;53;7;2
1;m020_eggwhite_53C_bd;53;8;2
1;m020_eggwhite_53C_bd;53;9;1
1;m020_eggwhite_53C_bd;53;10;1
1;m020_eggwhite_53C_bd;53;11;0
1;m020_eggwhite_53C_bd;53;12;0
1;m020_eggwhite_53C_bd;53;13;18
2;m021_eggwhite_57C_bd;57;1;8
2;m021_eggwhite_57C_bd;57;2;8
2;m021_eggwhite_57C_bd;57;3;6
2;m021_eggwhite_57C_bd;57;4;6
2;m021_eggwhite_57C_bd;57;5;4
2;m021_eggwhite_57C_bd;57;6;4
2;m021_eggwhite_57C_bd;57;7;2
2;m021_eggwhite_57C_bd;57;8;2
2;m021_eggwhite_57C_bd;57;9;1
2;m021_eggwhite_57C_bd;57;10;1
2;m021_eggwhite_57C_bd;57;11;0
2;m021_eggwhite_57C_bd;57;12;0
2;m021_eggwhite_57C_bd;57;13;18
3;m023_eggwhite_60C_bd;60;1;12
3;m023_eggwhite_60C_bd;60;2;8
3;m023_eggwhite_60C_bd;60;3;8
3;m023_eggwhite_60C_bd;60;4;6
3;m023_eggwhite_60C_bd;60;5;6
3;m023_eggwhite_60C_bd;60;6;4
3;m023_eggwhite_60C_bd;60;7;4
3;m023_eggwhite_60C_bd;60;8;2
3;m023_eggwhite_60C_bd;60;9;2
3;m023_eggwhite_60C_bd;60;10;1
3;m023_eggwhite_60C_bd;60;11;1
3;m023_eggwhite_60C_bd;60;12;0
3;m023_eggwhite_60C_bd;60;13;0
3;m023_eggwhite_60C_bd;60;14;18
4;m025_eggwhite_63C_bd;63;1;24
4;m025_eggwhite_63C_bd;63;2;18
4;m025_eggwhite_63C_bd;63;3;16
4;m025_eggwhite_63C_bd;63;4;12
4;m025_eggwhite_63C_bd;63;5;8
4;m025_eggwhite_63C_bd;63;6;8
4;m025_eggwhite_63C_bd;63;7;6
4;m025_eggwhite_63C_bd;63;8;6
4;m025_eggwhite_63C_bd;63;9;4
4;m025_eggwhite_63C_bd;63;10;4
4;m025_eggwhite_63C_bd;63;11;2
4;m025_eggwhite_63C_bd;63;12;2
4;m025_eggwhite_63C_bd;63;13;1
4;m025_eggwhite_63C_bd;63;14;1
4;m025_eggwhite_63C_bd;63;15;0
4;m025_eggwhite_63C_bd;63;16;0
5;m026_eggwhite_65C_bd;65;1;24
5;m026_eggwhite_65C_bd;65;2;18
5;m026_eggwhite_65C_bd;65;3;16
5;m026_eggwhite_65C_bd;65;4;12
5;m026_eggwhite_65C_bd;65;5;8
5;m026_eggwhite_65C_bd;65;6;8
5;m026_eggwhite_65C_bd;65;7;6
5;m026_eggwhite_65C_bd;65;8;6
5;m026_eggwhite_65C_bd;65;9;4
5;m026_eggwhite_65C_bd;65;10;4
5;m026_eggwhite_65C_bd;65;11;2
5;m026_eggwhite_65C_bd;65;12;2
5;m026_eggwhite_65C_bd;65;13;1
5;m026_eggwhite_65C_bd;65;14;1
5;m026_eggwhite_65C_bd;65;15;0
5;m026_eggwhite_65C_bd;65;16;0
6;m028_eggwhite_68C_bd;68;1;24
6;m028_eggwhite_68C_bd;68;2;18
6;m028_eggwhite_68C_bd;68;3;16
6;m028_eggwhite_68C_bd;68;4;12
6;m028_eggwhite_68C_bd;68;5;8
6;m028_eggwhite_68C_bd;68;6;8
6;m028_eggwhite_68C_bd;68;7;6
6;m028_eggwhite_68C_bd;68;8;6
6;m028_eggwhite_68C_bd;68;9;4
6;m028_eggwhite_68C_bd;68;10;4
